	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01791	275976UniRef90_Q9K2Y1 Outer membrane protein TolC n=48 Tax=Vibrio RepID=TOLC_VIBCH	457	4	1.4202E-12	41.44	1	F:GO:0003677	F:DNA binding			IPR003423 (PFAM); G3DSA:1.20.1600.10 (GENE3D); PTHR30026 (PANTHER); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); SignalP-noTM (SIGNALP_EUK); SSF56954 (SUPERFAMILY); TMhelix (TMHMM)	F:GO:0015562; P:GO:0055085	F:efflux transmembrane transporter activity; P:transmembrane transport
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01792	71109UniRef90_P27303 Multidrug export protein EmrA n=421 Tax=Bacteria RepID=EMRA_ECOLI	329	18	1.98743E-23	44.65	36	F:GO:0000166; F:GO:0003676; F:GO:0003677; F:GO:0003678; F:GO:0003723; F:GO:0003824; F:GO:0004386; F:GO:0004518; F:GO:0004519; F:GO:0005524; C:GO:0005634; C:GO:0005886; P:GO:0006260; P:GO:0008152; F:GO:0015225; P:GO:0015878; C:GO:0016020; C:GO:0016021; F:GO:0016787; C:GO:0019012; C:GO:0019031; P:GO:0019058; P:GO:0019079; C:GO:0030430; P:GO:0032508; C:GO:0033644; F:GO:0039660; P:GO:0039693; C:GO:0042025; P:GO:0042254; P:GO:0042273; C:GO:0044177; C:GO:0044178; F:GO:0046872; C:GO:0055036; P:GO:0090305	F:nucleotide binding; F:nucleic acid binding; F:DNA binding; F:DNA helicase activity; F:RNA binding; F:catalytic activity; F:helicase activity; F:nuclease activity; F:endonuclease activity; F:ATP binding; C:nucleus; C:plasma membrane; P:DNA replication; P:metabolic process; F:biotin transmembrane transporter activity; P:biotin transport; C:membrane; C:integral component of membrane; F:hydrolase activity; C:virion; C:viral envelope; P:viral life cycle; P:viral genome replication; C:host cell cytoplasm; P:DNA duplex unwinding; C:host cell membrane; F:structural constituent of virion; P:viral DNA genome replication; C:host cell nucleus; P:ribosome biogenesis; P:ribosomal large subunit biogenesis; C:host cell Golgi apparatus; C:host cell Golgi membrane; F:metal ion binding; C:virion membrane; P:nucleic acid phosphodiester bond hydrolysis			Coil (COILS); G3DSA:2.40.50.100 (GENE3D); G3DSA:2.40.30.170 (GENE3D); IPR032317 (PFAM); PTHR30386 (PANTHER); PTHR30386 (PANTHER); PTHR30386:SF22 (PANTHER); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SSF111369 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01793	277500UniRef90_P59787 Transposase for insertion sequence element IS256 in transposon Tn4001 n=226 Tax=root RepID=TRA6_ENTFA	405	20	2.32785E-105	57.06	10	C:GO:0016020; C:GO:0016021; C:GO:0019012; C:GO:0019031; P:GO:0019064; C:GO:0020002; C:GO:0033644; P:GO:0039663; P:GO:0046718; C:GO:0055036	C:membrane; C:integral component of membrane; C:virion; C:viral envelope; P:fusion of virus membrane with host plasma membrane; C:host cell plasma membrane; C:host cell membrane; P:membrane fusion involved in viral entry into host cell; P:viral entry into host cell; C:virion membrane			IPR001207 (PFAM); PTHR33217:SF7 (PANTHER); IPR001207 (PANTHER)	F:GO:0003677; F:GO:0004803; P:GO:0006313	F:DNA binding; F:transposase activity; P:transposition, DNA-mediated
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01794	303807UniRef90_Q9I310 Uncharacterized signaling protein PA1727 n=79 Tax=Pseudomonadaceae RepID=Y1727_PSEAE	1449	20	6.5287E-38	49.82	65	C:GO:0000139; C:GO:0000786; P:GO:0002933; F:GO:0003677; F:GO:0004497; F:GO:0005198; F:GO:0005506; C:GO:0005634; C:GO:0005694; C:GO:0005737; C:GO:0005739; C:GO:0005743; C:GO:0005783; C:GO:0005789; P:GO:0006082; P:GO:0006334; P:GO:0006629; P:GO:0006631; P:GO:0006641; P:GO:0006805; P:GO:0008202; F:GO:0008392; F:GO:0008395; P:GO:0009617; P:GO:0010193; P:GO:0010243; C:GO:0016020; C:GO:0016021; P:GO:0016098; F:GO:0016491; F:GO:0016705; F:GO:0016709; F:GO:0016712; P:GO:0017144; F:GO:0018601; P:GO:0018885; P:GO:0018910; P:GO:0018960; C:GO:0019012; C:GO:0019028; C:GO:0019030; P:GO:0019373; F:GO:0019825; F:GO:0019899; F:GO:0020037; F:GO:0030544; C:GO:0031090; C:GO:0031227; C:GO:0033644; P:GO:0042197; P:GO:0042493; P:GO:0042738; P:GO:0042742; P:GO:0042759; C:GO:0043231; C:GO:0044165; C:GO:0044167; P:GO:0045471; P:GO:0046483; P:GO:0046740; F:GO:0046872; F:GO:0046982; F:GO:0051879; P:GO:0055114; F:GO:0070330	C:Golgi membrane; C:nucleosome; P:lipid hydroxylation; F:DNA binding; F:monooxygenase activity; F:structural molecule activity; F:iron ion binding; C:nucleus; C:chromosome; C:cytoplasm; C:mitochondrion; C:mitochondrial inner membrane; C:endoplasmic reticulum; C:endoplasmic reticulum membrane; P:organic acid metabolic process; P:nucleosome assembly; P:lipid metabolic process; P:fatty acid metabolic process; P:triglyceride metabolic process; P:xenobiotic metabolic process; P:steroid metabolic process; F:arachidonic acid epoxygenase activity; F:steroid hydroxylase activity; P:response to bacterium; P:response to ozone; P:response to organonitrogen compound; C:membrane; C:integral component of membrane; P:monoterpenoid metabolic process; F:oxidoreductase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen; P:drug metabolic process; F:4-nitrophenol 2-monooxygenase activity; P:carbon tetrachloride metabolic process; P:benzene metabolic process; P:4-nitrophenol metabolic process; C:virion; C:viral capsid; C:icosahedral viral capsid; P:epoxygenase P450 pathway; F:oxygen binding; F:enzyme binding; F:heme binding; F:Hsp70 protein binding; C:organelle membrane; C:intrinsic component of endoplasmic reticulum membrane; C:host cell membrane; P:halogenated hydrocarbon metabolic process; P:response to drug; P:exogenous drug catabolic process; P:defense response to bacterium; P:long-chain fatty acid biosynthetic process; C:intracellular membrane-bounded organelle; C:host cell endoplasmic reticulum; C:host cell endoplasmic reticulum membrane; P:response to ethanol; P:heterocycle metabolic process; P:transport of virus in host, cell to cell; F:metal ion binding; F:protein heterodimerization activity; F:Hsp90 protein binding; P:oxidation-reduction process; F:aromatase activity			Coil (COILS); Coil (COILS); IPR001633 (SMART); IPR000014 (SMART); IPR001610 (SMART); IPR000160 (SMART); IPR000014 (PFAM); IPR000014 (PFAM); IPR043128 (G3DSA:3.30.70.GENE3D); G3DSA:3.30.450.20 (GENE3D); IPR000160 (PFAM); G3DSA:3.30.450.20 (GENE3D); IPR035919 (G3DSA:3.20.20.GENE3D); IPR000014 (TIGRFAM); G3DSA:3.30.450.20 (GENE3D); IPR000160 (TIGRFAM); G3DSA:3.30.450.20 (GENE3D); IPR001633 (PFAM); PTHR44757 (PANTHER); CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); TRANSMEMBRANE (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); IPR000700 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR001633 (PROSITE_PROFILES); IPR000700 (PROSITE_PROFILES); IPR000014 (PROSITE_PROFILES); IPR000160 (PROSITE_PROFILES); IPR000160 (CDD); IPR000014 (CDD); IPR000014 (CDD); IPR035965 (SUPERFAMILY); IPR029787 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035965 (SUPERFAMILY); IPR035919 (SUPERFAMILY); TMhelix (TMHMM); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	CBNIABCL_01795	---NA---	60									mobidb-lite (MOBIDB_LITE); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01796	43836UniRef90_Q5SIJ5 Type III pantothenate kinase n=4 Tax=Thermus RepID=COAX_THET8	259	20	8.05209E-25	48.94	57	F:GO:0000049; P:GO:0000413; P:GO:0001682; F:GO:0003677; F:GO:0003723; F:GO:0003735; F:GO:0003755; F:GO:0003824; F:GO:0003899; F:GO:0004518; F:GO:0004519; F:GO:0004526; F:GO:0004540; F:GO:0005506; F:GO:0005515; C:GO:0005737; C:GO:0005773; C:GO:0005840; P:GO:0006351; P:GO:0006396; P:GO:0006412; P:GO:0006417; P:GO:0006807; P:GO:0008033; F:GO:0008800; F:GO:0009039; F:GO:0009055; P:GO:0009399; P:GO:0009405; F:GO:0010181; C:GO:0015934; F:GO:0016151; F:GO:0016163; F:GO:0016491; F:GO:0016740; F:GO:0016779; F:GO:0016787; F:GO:0016810; F:GO:0016853; F:GO:0016903; P:GO:0019627; F:GO:0019843; P:GO:0022900; P:GO:0030655; C:GO:0030677; F:GO:0030976; C:GO:0031411; P:GO:0031412; P:GO:0043419; P:GO:0046677; F:GO:0046872; F:GO:0051536; F:GO:0051539; P:GO:0055114; P:GO:0090305; P:GO:0090501; P:GO:0090502	F:tRNA binding; P:protein peptidyl-prolyl isomerization; P:tRNA 5'-leader removal; F:DNA binding; F:RNA binding; F:structural constituent of ribosome; F:peptidyl-prolyl cis-trans isomerase activity; F:catalytic activity; F:DNA-directed 5'-3' RNA polymerase activity; F:nuclease activity; F:endonuclease activity; F:ribonuclease P activity; F:ribonuclease activity; F:iron ion binding; F:protein binding; C:cytoplasm; C:vacuole; C:ribosome; P:transcription, DNA-templated; P:RNA processing; P:translation; P:regulation of translation; P:nitrogen compound metabolic process; P:tRNA processing; F:beta-lactamase activity; F:urease activity; F:electron transfer activity; P:nitrogen fixation; P:pathogenesis; F:FMN binding; C:large ribosomal subunit; F:nickel cation binding; F:nitrogenase activity; F:oxidoreductase activity; F:transferase activity; F:nucleotidyltransferase activity; F:hydrolase activity; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; F:isomerase activity; F:oxidoreductase activity, acting on the aldehyde or oxo group of donors; P:urea metabolic process; F:rRNA binding; P:electron transport chain; P:beta-lactam antibiotic catabolic process; C:ribonuclease P complex; F:thiamine pyrophosphate binding; C:gas vesicle; P:gas vesicle organization; P:urea catabolic process; P:response to antibiotic; F:metal ion binding; F:iron-sulfur cluster binding; F:4 iron, 4 sulfur cluster binding; P:oxidation-reduction process; P:nucleic acid phosphodiester bond hydrolysis; P:RNA phosphodiester bond hydrolysis; P:RNA phosphodiester bond hydrolysis, endonucleolytic			IPR004619 (TIGRFAM); IPR004619 (PFAM); G3DSA:3.30.420.40 (GENE3D); IPR004619 (PANTHER); IPR004619 (HAMAP); IPR043129 (SUPERFAMILY); IPR043129 (SUPERFAMILY)	F:GO:0004594	F:pantothenate kinase activity
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01797	952257UniRef90_I3ZWB9 Biotin-protein ligase n=1 Tax=Thermococcus cleftensis RepID=I3ZWB9_9EURY	255	20	6.47335E-14	49.05	15	C:GO:0009507; C:GO:0009521; C:GO:0009523; C:GO:0009535; C:GO:0009536; C:GO:0009579; P:GO:0009767; P:GO:0009772; P:GO:0015979; C:GO:0016020; C:GO:0016021; F:GO:0016168; P:GO:0018298; P:GO:0019684; F:GO:0045156	C:chloroplast; C:photosystem; C:photosystem II; C:chloroplast thylakoid membrane; C:plastid; C:thylakoid; P:photosynthetic electron transport chain; P:photosynthetic electron transport in photosystem II; P:photosynthesis; C:membrane; C:integral component of membrane; F:chlorophyll binding; P:protein-chromophore linkage; P:photosynthesis, light reaction; F:electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity			IPR004143 (PFAM); IPR004408 (TIGRFAM); G3DSA:3.30.930.10 (GENE3D); PTHR12835:SF5 (PANTHER); PTHR12835 (PANTHER); IPR004143 (PROSITE_PROFILES); SSF55681 (SUPERFAMILY)	F:GO:0004077; P:GO:0006464	F:biotin-[acetyl-CoA-carboxylase] ligase activity; P:cellular protein modification process
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01798	547028UniRef90_A0A062VBB1 Nicotinate-nucleotide pyrophosphorylase	107	20	1.21E-18	63.1	8	F:GO:0008730; P:GO:0009058; P:GO:0009408; F:GO:0016740; F:GO:0016779; F:GO:0016829; F:GO:0016836; F:GO:0047343	F:L(+)-tartrate dehydratase activity; P:biosynthetic process; P:response to heat; F:transferase activity; F:nucleotidyltransferase activity; F:lyase activity; F:hydro-lyase activity; F:glucose-1-phosphate cytidylyltransferase activity			IPR002638 (PFAM); IPR013785 (G3DSA:3.20.20.GENE3D); PTHR32179:SF3 (PANTHER); IPR027277 (PANTHER); IPR036068 (SUPERFAMILY)	F:GO:0003824; F:GO:0004514; P:GO:0009435	F:catalytic activity; F:nicotinate-nucleotide diphosphorylase (carboxylating) activity; P:NAD biosynthetic process
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01799	155499UniRef90_P74301 Probable nicotinate-nucleotide pyrophosphorylase	173	20	3.22965E-26	52.35	23	F:GO:0004040; F:GO:0004325; C:GO:0005576; C:GO:0005737; P:GO:0006779; P:GO:0006783; F:GO:0009055; P:GO:0009405; P:GO:0009851; F:GO:0016491; F:GO:0016740; F:GO:0016746; F:GO:0016787; F:GO:0016829; F:GO:0016837; P:GO:0022900; F:GO:0030570; C:GO:0042597; P:GO:0045490; F:GO:0046872; F:GO:0051536; F:GO:0051537; P:GO:0055114	F:amidase activity; F:ferrochelatase activity; C:extracellular region; C:cytoplasm; P:porphyrin-containing compound biosynthetic process; P:heme biosynthetic process; F:electron transfer activity; P:pathogenesis; P:auxin biosynthetic process; F:oxidoreductase activity; F:transferase activity; F:transferase activity, transferring acyl groups; F:hydrolase activity; F:lyase activity; F:carbon-oxygen lyase activity, acting on polysaccharides; P:electron transport chain; F:pectate lyase activity; C:periplasmic space; P:pectin catabolic process; F:metal ion binding; F:iron-sulfur cluster binding; F:2 iron, 2 sulfur cluster binding; P:oxidation-reduction process			IPR013785 (G3DSA:3.20.20.GENE3D); IPR037128 (G3DSA:3.90.1170.GENE3D); IPR022412 (PFAM); IPR002638 (PFAM); IPR027277 (PANTHER); IPR036068 (SUPERFAMILY); SSF54675 (SUPERFAMILY)	F:GO:0003824; F:GO:0004514; P:GO:0009435; F:GO:0016763	F:catalytic activity; F:nicotinate-nucleotide diphosphorylase (carboxylating) activity; P:NAD biosynthetic process; F:transferase activity, transferring pentosyl groups
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01800	266426UniRef90_Q3A253 Valine--tRNA ligase n=2 Tax=Pelobacter carbinolicus RepID=SYV_PELCD	904	20	0.0	61.8	36	F:GO:0000166; F:GO:0000287; F:GO:0003796; F:GO:0003824; F:GO:0003861; F:GO:0004743; F:GO:0005515; F:GO:0005524; C:GO:0005576; C:GO:0005615; C:GO:0005829; P:GO:0006096; P:GO:0008152; P:GO:0008643; P:GO:0008652; P:GO:0009082; P:GO:0009098; C:GO:0009316; F:GO:0016301; P:GO:0016310; F:GO:0016491; F:GO:0016740; F:GO:0016787; F:GO:0016798; F:GO:0016829; P:GO:0019835; F:GO:0030955; P:GO:0031640; C:GO:0042597; P:GO:0042742; F:GO:0042802; P:GO:0046274; F:GO:0046872; P:GO:0050829; P:GO:0050830; P:GO:0055114	F:nucleotide binding; F:magnesium ion binding; F:lysozyme activity; F:catalytic activity; F:3-isopropylmalate dehydratase activity; F:pyruvate kinase activity; F:protein binding; F:ATP binding; C:extracellular region; C:extracellular space; C:cytosol; P:glycolytic process; P:metabolic process; P:carbohydrate transport; P:cellular amino acid biosynthetic process; P:branched-chain amino acid biosynthetic process; P:leucine biosynthetic process; C:3-isopropylmalate dehydratase complex; F:kinase activity; P:phosphorylation; F:oxidoreductase activity; F:transferase activity; F:hydrolase activity; F:hydrolase activity, acting on glycosyl bonds; F:lyase activity; P:cytolysis; F:potassium ion binding; P:killing of cells of other organism; C:periplasmic space; P:defense response to bacterium; F:identical protein binding; P:lignin catabolic process; F:metal ion binding; P:defense response to Gram-negative bacterium; P:defense response to Gram-positive bacterium; P:oxidation-reduction process			Coil (COILS); IPR002303 (PRINTS); IPR013155 (PFAM); IPR019499 (PFAM); IPR037118 (G3DSA:1.10.287.GENE3D); IPR014729 (G3DSA:3.40.50.GENE3D); IPR009008 (G3DSA:3.90.740.GENE3D); G3DSA:1.10.730.10 (GENE3D); IPR002303 (TIGRFAM); IPR002300 (PFAM); PTHR11946:SF93 (PANTHER); PTHR11946 (PANTHER); IPR001412 (PROSITE_PATTERNS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); IPR002303 (HAMAP); IPR033705 (CDD); cd00817 (CDD); SSF52374 (SUPERFAMILY); IPR009008 (SUPERFAMILY); IPR010978 (SUPERFAMILY); IPR009080 (SUPERFAMILY)	F:GO:0000166; F:GO:0002161; F:GO:0004812; F:GO:0004832; F:GO:0005524; C:GO:0005737; P:GO:0006418; P:GO:0006438	F:nucleotide binding; F:aminoacyl-tRNA editing activity; F:aminoacyl-tRNA ligase activity; F:valine-tRNA ligase activity; F:ATP binding; C:cytoplasm; P:tRNA aminoacylation for protein translation; P:valyl-tRNA aminoacylation
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01801	325569UniRef90_O34758 UPF0755 protein YrrL n=36 Tax=Bacillales RepID=YRRL_BACSU	341	3	9.20722E-40	51.29	4	P:GO:0000160; F:GO:0003677; F:GO:0003824; P:GO:0009399	P:phosphorelay signal transduction system; F:DNA binding; F:catalytic activity; P:nitrogen fixation			IPR003770 (PFAM); IPR003770 (TIGRFAM); G3DSA:1.10.8.1150 (GENE3D); IPR003770 (PANTHER); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); IPR003770 (HAMAP); IPR003770 (CDD); TMhelix (TMHMM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01802	324595UniRef90_B8GC73 Putative pre-16S rRNA nuclease n=1 Tax=Chloroflexus aggregans (strain MD-66 / DSM 9485) RepID=YQGF_CHLAD	171	20	5.07309E-17	53.04	26	F:GO:0003723; F:GO:0004308; F:GO:0005198; P:GO:0005975; P:GO:0008152; C:GO:0016020; C:GO:0016021; P:GO:0016032; F:GO:0016787; F:GO:0016798; C:GO:0019012; C:GO:0019013; C:GO:0019028; C:GO:0019029; C:GO:0020002; C:GO:0033644; P:GO:0039675; C:GO:0042025; P:GO:0046718; P:GO:0046761; F:GO:0046872; F:GO:0052794; F:GO:0052795; F:GO:0052796; C:GO:0055036; P:GO:0075732	F:RNA binding; F:exo-alpha-sialidase activity; F:structural molecule activity; P:carbohydrate metabolic process; P:metabolic process; C:membrane; C:integral component of membrane; P:viral process; F:hydrolase activity; F:hydrolase activity, acting on glycosyl bonds; C:virion; C:viral nucleocapsid; C:viral capsid; C:helical viral capsid; C:host cell plasma membrane; C:host cell membrane; P:exit of virus from host cell nucleus through nuclear pore; C:host cell nucleus; P:viral entry into host cell; P:viral budding from plasma membrane; F:metal ion binding; F:exo-alpha-(2->3)-sialidase activity; F:exo-alpha-(2->6)-sialidase activity; F:exo-alpha-(2->8)-sialidase activity; C:virion membrane; P:viral penetration into host nucleus			IPR006641 (SMART); IPR005227 (PFAM); IPR037027 (G3DSA:3.30.420.GENE3D); PTHR33317:SF1 (PANTHER); IPR005227 (PANTHER); IPR005227 (HAMAP); cd16964 (CDD); IPR012337 (SUPERFAMILY)	P:GO:0006139; P:GO:0006364	P:nucleobase-containing compound metabolic process; P:rRNA processing
true	[INTERPRO, NO-BLAST]	CBNIABCL_01803	---NA---	94									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01804	259703UniRef90_Q39Z77 Alanine--tRNA ligase n=1 Tax=Geobacter metallireducens (strain GS-15 / ATCC 53774 / DSM 7210) RepID=SYA_GEOMG	891	20	0.0	62.68	2	C:GO:0005576; P:GO:0007218	C:extracellular region; P:neuropeptide signaling pathway			Coil (COILS); IPR002318 (PRINTS); IPR012947 (SMART); G3DSA:3.10.310.40 (GENE3D); IPR012947 (PFAM); G3DSA:3.30.980.10 (GENE3D); IPR002318 (TIGRFAM); IPR018164 (PFAM); G3DSA:3.30.930.10 (GENE3D); G3DSA:3.30.54.20 (GENE3D); IPR003156 (PFAM); G3DSA:2.40.30.130 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR11777 (PANTHER); IPR023033 (HAMAP); IPR018165 (PROSITE_PROFILES); cd00673 (CDD); IPR018162 (SUPERFAMILY); SSF55681 (SUPERFAMILY); IPR018163 (SUPERFAMILY); IPR009000 (SUPERFAMILY)	F:GO:0000166; F:GO:0003676; F:GO:0004812; F:GO:0004813; F:GO:0005524; C:GO:0005737; P:GO:0006419; P:GO:0043039	F:nucleotide binding; F:nucleic acid binding; F:aminoacyl-tRNA ligase activity; F:alanine-tRNA ligase activity; F:ATP binding; C:cytoplasm; P:alanyl-tRNA aminoacylation; P:tRNA aminoacylation
