my gene	prokka annotation	article gene	article prokka annotation	eggnog annotation
CBNIABCL_01597	 hypothetical protein	LFTS_01096	 hypothetical protein	 Not found 
CBNIABCL_01596	 hypothetical protein	LFTS_01097	 hypothetical protein	 Not found 
CBNIABCL_01595	 RNA polymerase-associated protein RapA	LFTS_01098	 hypothetical protein	SNF2 family N-terminal domain
CBNIABCL_01594	 hypothetical protein	LFTS_01099	 hypothetical protein	 Not found 
CBNIABCL_01593	 hypothetical protein	LFTS_01100	 Competence protein ComGC	 Not found 
CBNIABCL_01592	 Anaerobic sulfatase-maturating enzyme	LFTS_01101	 hypothetical protein	radical SAM
CBNIABCL_01591	 hypothetical protein	LFTS_01102	 hypothetical protein	 Not found 
CBNIABCL_01590	 Anaerobic sulfatase-maturating enzyme	LFTS_01103	 hypothetical protein	radical SAM
CBNIABCL_01589	 Ubiquinone biosynthesis O-methyltransferase	LFTS_01104	 Methyltransferase domain-containing protein	Methyltransferase domain
CBNIABCL_01588	 hypothetical protein	LFTS_01105	 hypothetical protein	 Not found 
CBNIABCL_01587	 hypothetical protein	LFTS_01106	 hypothetical protein	radical SAM
CBNIABCL_01586	 hypothetical protein	LFTS_01107	 hypothetical protein	 Not found 
CBNIABCL_01585	 hypothetical protein	LFTS_01108	 hypothetical protein	radical SAM
CBNIABCL_01584	 hypothetical protein	LFTS_01109	 putative transposase	Helix-turn-helix domain
CBNIABCL_01583	 hypothetical protein	LFTS_01110	 hypothetical protein	DnaB-like helicase C terminal domain
CBNIABCL_01582	 hypothetical protein	LFTS_01111	 hypothetical protein	 Not found 
CBNIABCL_01581	 hypothetical protein	LFTS_01112	 hypothetical protein	 Not found 
CBNIABCL_01580	 hypothetical protein	LFTS_01113	 hypothetical protein	 Not found 
CBNIABCL_01579	 hypothetical protein	LFTS_01114	 hypothetical protein	 Not found 
CBNIABCL_01578	 hypothetical protein	LFTS_01115	 hypothetical protein	 Not found 
CBNIABCL_01577	 hypothetical protein	LFTS_01116	 hypothetical protein	 Not found 
CBNIABCL_01576	 hypothetical protein	LFTS_01117	 Type II secretory pathway, component PulF	protein transport across the cell outer membrane
CBNIABCL_01575	 Twitching mobility protein	LFTS_01118	 twitching motility protein PilT	Type II/IV secretion system protein
CBNIABCL_01574	 hypothetical protein	LFTS_01119	 hypothetical protein	 Not found 
CBNIABCL_01573	 hypothetical protein	LFTS_01120	 hypothetical protein	 Not found 
CBNIABCL_01572	 hypothetical protein	LFTS_01121	 hypothetical protein	 Not found 
CBNIABCL_01571	 Type II secretion system protein D	LFTS_01122	 type II and III secretion system protein	Bacterial type II and III secretion system protein
CBNIABCL_01570	 Putative type II secretion system protein E	LFTS_01123	 Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB	Type II/IV secretion system protein
CBNIABCL_01569	 hypothetical protein	LFTS_01124	 hypothetical protein	 Not found 
CBNIABCL_01568	 hypothetical protein	LFTS_01125	 hypothetical protein	 Not found 
CBNIABCL_01567	 hypothetical protein	LFTS_01126	 hypothetical protein	 Not found 
CBNIABCL_01566	 hypothetical protein	LFTS_01127	 hypothetical protein	 Not found 
CBNIABCL_01565	 hypothetical protein	LFTS_01128	 hypothetical protein	 Not found 
CBNIABCL_01564	 hypothetical protein	LFTS_01129	 hypothetical protein	 Not found 
CBNIABCL_01563	 Conjugal transfer protein TraG	LFTS_01130	 type IV secretion system protein VirD4	Type IV secretory system Conjugative DNA transfer
CBNIABCL_01562	 Conjugal transfer protein TraG	LFTS_01131	 type IV secretion system protein VirD4	Conjugal transfer protein TraG
CBNIABCL_01561	 hypothetical protein	LFTS_01132	 hypothetical protein	 Not found 
CBNIABCL_01560	 CRISPR-associated nuclease/helicase Cas3	LFTS_01133	 CRISPR-associated endonuclease/helicase Cas3	CRISPR-associated helicase, Cas3
CBNIABCL_01559	 CRISPR-associated protein CasA/Cse1	LFTS_01134	 CRISPR system Cascade subunit CasA	CRISPR-associated protein Cse1 (CRISPR_cse1)
CBNIABCL_01558	 hypothetical protein	LFTS_01135	 CRISPR-associated protein, Cse2 family	CRISPR-associated protein
CBNIABCL_01557	 hypothetical protein	LFTS_01136	 CRISPR-associated protein, Cse3 family	CRISPR_assoc
CBNIABCL_01556	 CRISPR system Cascade subunit CasC	LFTS_01137	 CRISPR-associated protein Cas7/Cse4/CasC, subtype I-E/ECOLI	CT1975-like protein
CBNIABCL_01555	 CRISPR system Cascade subunit CasD	LFTS_01138	 CRISPR-associated protein, Cas5e family	CRISPR-associated protein (Cas_Cas5)
CBNIABCL_01554	 CRISPR-associated endonuclease Cas1	LFTS_01139	 CRISP-associated protein Cas1	CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain spacers, sequences complementary to antecedent mobile elements, and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Acts as a dsDNA endonuclease. Involved in the integration of spacer DNA into the CRISPR cassette
CBNIABCL_01553	 hypothetical protein	LFTS_01140	 hypothetical protein	 Not found 
CBNIABCL_01552	 hypothetical protein	LFTS_01141	 hypothetical protein	PFAM von Willebrand factor type A
CBNIABCL_01550	 hypothetical protein	LFTS_01142	 hypothetical protein	AAA domain (dynein-related subfamily)
CBNIABCL_01549	 hypothetical protein	LFTS_01143	 hypothetical protein	 Not found 
CBNIABCL_01548	 hypothetical protein	LFTS_01144	 hypothetical protein	helicase C-terminal domain protein
CBNIABCL_01547	 hypothetical protein	LFTS_01145	 hypothetical protein	 Not found 
CBNIABCL_01546	 hypothetical protein	LFTS_01146	 hypothetical protein	Protein conserved in bacteria
CBNIABCL_01545	 hypothetical protein	LFTS_01147	 hypothetical protein	 Not found 
CBNIABCL_01544	 hypothetical protein	LFTS_01148	 Nucleotidyl transferase AbiEii toxin, Type IV TA system	Psort location Cytoplasmic, score
CBNIABCL_01543	 3'3'-cGAMP-specific phosphodiesterase 3	LFTS_01149	 HDIG domain-containing protein	Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology
CBNIABCL_01542	 hypothetical protein	LFTS_01150	 leader peptidase (prepilin peptidase) / N-methyltransferase	Belongs to the peptidase A24 family
CBNIABCL_01541	 hypothetical protein	LFTS_01151	 hypothetical protein	 Not found 
CBNIABCL_01540	 hypothetical protein	LFTS_01152	 hypothetical protein	 Not found 
CBNIABCL_01539	 hypothetical protein	LFTS_01153	 Thioredoxin domain-containing protein	Thioredoxin domain
CBNIABCL_01538	 HTH-type transcriptional regulator HmrR	LFTS_01154	 MerR family transcriptional regulator, Zn(II)-responsive regulator of zntA	helix_turn_helix, mercury resistance
CBNIABCL_01537	 Mercuric resistance protein MerC	LFTS_01155	 MerC mercury resistance protein	MerC mercury resistance protein
CBNIABCL_01536	 Mercuric reductase	LFTS_01156	 mercuric reductase	Pyridine nucleotide-disulphide oxidoreductase
CBNIABCL_01535	 hypothetical protein	LFTS_01157	 Transposase	Transposase
CBNIABCL_01534	 hypothetical protein	LFTS_01158	 ORF6N domain-containing protein	ORF6N domain
CBNIABCL_01533	 hypothetical protein	LFTS_01159	 Molybdate transporter of MFS superfamily protein	secondary active sulfate transmembrane transporter activity
CBNIABCL_01532	 hypothetical protein	LFTS_01160	 hypothetical protein	 Not found 
CBNIABCL_01531	 Nitrogenase iron protein	LFTS_01161	 nitrogenase iron protein NifH	The key enzymatic reactions in nitrogen fixation are catalyzed by the nitrogenase complex, which has 2 components the iron protein and the molybdenum-iron protein
CBNIABCL_01530	 Nitrogenase molybdenum-iron protein alpha chain	LFTS_01162	 Mo-nitrogenase MoFe protein subunit NifD precursor	Nitrogenase component 1 type Oxidoreductase
CBNIABCL_01529	 Nitrogenase molybdenum-iron protein beta chain	LFTS_01163	 Mo-nitrogenase MoFe protein subunit NifK	This molybdenum-iron protein is part of the nitrogenase complex that catalyzes the key enzymatic reactions in nitrogen fixation
CBNIABCL_01528	 Nitrogenase molybdenum-iron protein alpha chain	LFTS_01164	 nitrogenase molybdenum-cofactor synthesis protein NifE	Nitrogenase component 1 type Oxidoreductase
CBNIABCL_01527	 Nitrogenase molybdenum-iron protein beta chain	LFTS_01165	 nitrogenase molybdenum-iron protein NifN	Component of the dark-operative protochlorophyllide reductase (DPOR) that uses Mg-ATP and reduced ferredoxin to reduce ring D of protochlorophyllide (Pchlide) to form chlorophyllide a (Chlide). This reaction is light-independent. The NB-protein
CBNIABCL_01526	 hypothetical protein	LFTS_01166	 nitrogen fixation protein NifX	Dinitrogenase iron-molybdenum cofactor
CBNIABCL_01525	 hypothetical protein	LFTS_01167	 putative nitrogen fixation protein	nitrogen fixation protein
CBNIABCL_01524	 FeMo cofactor biosynthesis protein NifB	LFTS_01168	 nitrogen fixation protein NifB	Elongator protein 3, MiaB family, Radical SAM
CBNIABCL_01523	 putative ferredoxin-like protein YfhL	LFTS_01169	 4Fe-4S dicluster domain-containing protein	4fe-4S ferredoxin, iron-sulfur binding domain protein
CBNIABCL_01522	 Iron-binding protein IscA	LFTS_01170	 Iron-sulfur cluster assembly accessory protein	protein maturation
CBNIABCL_01521	 hypothetical protein	LFTS_01171	 Tetratricopeptide repeat-containing protein	Tetratricopeptide repeat
CBNIABCL_01520	 hypothetical protein	LFTS_01172	 Leucine rich repeat variant	deoxyhypusine monooxygenase activity
CBNIABCL_01519	 Cysteine desulfurase NifS	LFTS_01173	 cysteine desulfurase	Master enzyme that delivers sulfur to a number of partners involved in Fe-S cluster assembly, tRNA modification or cofactor biosynthesis. Catalyzes the removal of elemental sulfur atoms from cysteine to produce alanine. Functions as a sulfur delivery protein for Fe-S cluster synthesis onto IscU, an Fe-S scaffold assembly protein, as well as other S acceptor proteins
CBNIABCL_01518	 GDP-perosamine synthase	LFTS_01174	 dTDP-4-amino-4,6-dideoxygalactose transaminase	Belongs to the DegT DnrJ EryC1 family
CBNIABCL_01517	 hypothetical protein	LFTS_01175	 hypothetical protein	
CBNIABCL_01516	 hypothetical protein	LFTS_01176	 nitrogen fixation protein NifZ	nitrogen fixation
CBNIABCL_01515	 hypothetical protein	LFTS_01177	 NifU-like domain-containing protein	 Not found 
CBNIABCL_01514	 hypothetical protein	LFTS_01178	 nitrogen fixation protein NifT	nitrogen fixation
CBNIABCL_01513	 hypothetical protein	LFTS_01179	 hypothetical protein	
CBNIABCL_01511	 hypothetical protein	LFTS_01180	 SIR2-like domain-containing protein	SIR2-like domain
CBNIABCL_01510	 Ferredoxin-3	LFTS_01181	 ferredoxin III, nif-specific	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
CBNIABCL_01509	 Nitrogenase-stabilizing/protective protein NifW 2	LFTS_01182	 nitrogenase-stabilizing/protective protein	May protect the nitrogenase Fe-Mo protein from oxidative damage
CBNIABCL_01508	 Nitrogen regulatory protein P-II	LFTS_01183	 nitrogen regulatory protein P-II family protein	Nitrogen regulatory protein P-II
CBNIABCL_01507	 Nitrogen regulatory protein P-II	LFTS_01184	 nitrogen regulatory protein P-II family protein	Nitrogen regulatory protein P-II
CBNIABCL_01506	 hypothetical protein	LFTS_01185	 response regulator receiver and ANTAR domain protein	response regulator
CBNIABCL_01505	 hypothetical protein	LFTS_01186	 Rop-like protein	 Not found 
CBNIABCL_01504	 2-isopropylmalate synthase	LFTS_01187	 homocitrate synthase NifV	Belongs to the alpha-IPM synthase homocitrate synthase family
CBNIABCL_01503	 Molybdopterin-synthase adenylyltransferase	LFTS_01188	 Molybdopterin or thiamine biosynthesis adenylyltransferase	Involved in molybdopterin and thiamine biosynthesis, family 2
CBNIABCL_01502	 Molybdate-binding periplasmic protein	LFTS_01189	 molybdate transport system substrate-binding protein	Bacterial extracellular solute-binding protein
CBNIABCL_01501	 Molybdenum transport system permease protein ModB	LFTS_01190	 molybdate transport system permease protein	molybdate abc transporter
CBNIABCL_01500	 Thiamine import ATP-binding protein ThiQ	LFTS_01191	 thiamine transport system ATP-binding protein	Part of the ABC transporter complex ModABC involved in molybdenum import. Responsible for energy coupling to the transport system
CBNIABCL_01499	 hypothetical protein	LFTS_01192	 LTXXQ motif family protein	ATP-independent chaperone mediated protein folding
CBNIABCL_01498	 Molybdopterin adenylyltransferase	LFTS_01193	 molybdenum cofactor synthesis domain-containing protein	Probable molybdopterin binding domain
CBNIABCL_01497	 Cyclic pyranopterin monophosphate synthase	LFTS_01194	 cyclic pyranopterin phosphate synthase	Catalyzes the conversion of (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate to cyclic pyranopterin monophosphate (cPMP)
CBNIABCL_01496	 Molybdopterin molybdenumtransferase	LFTS_01195	 molybdopterin molybdotransferase	Probable molybdopterin binding domain
CBNIABCL_01495	 Molybdopterin synthase catalytic subunit 1	LFTS_01196	 molybdopterin synthase catalytic subunit	MoaE protein
CBNIABCL_01494	 hypothetical protein	LFTS_01197	 molybdopterin synthase sulfur carrier subunit	 Not found 
CBNIABCL_01493	 GTP 3',8-cyclase 1	LFTS_01198	 cyclic pyranopterin phosphate synthase	Catalyzes the cyclization of GTP to (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate
CBNIABCL_01492	 Nitrogen regulatory protein P-II	LFTS_01199	 nitrogen regulatory protein P-II family protein	Belongs to the P(II) protein family
CBNIABCL_01491	 Sulfite reductase [ferredoxin]	LFTS_01200	 nitrite reductase (NADH) large subunit	Nitrite and sulphite reductase 4Fe-4S domain
CBNIABCL_01489	 Nitrate transporter	LFTS_01201	 MFS transporter, NNP family, nitrate/nitrite transporter	Major Facilitator Superfamily
CBNIABCL_01488	 Nitrogen regulatory protein P-II 2	LFTS_01202	 nitrogen regulatory protein P-II family protein	Belongs to the P(II) protein family
CBNIABCL_01487	 Nitrogen regulatory protein P-II	LFTS_01203	 sulfoxide reductase catalytic subunit YedY	Part of the MsrPQ system that repairs oxidized periplasmic proteins containing methionine sulfoxide residues (Met-O), using respiratory chain electrons. Thus protects these proteins from oxidative-stress damage caused by reactive species of oxygen and chlorine generated by the host defense mechanisms. MsrPQ is essential for the maintenance of envelope integrity under bleach stress, rescuing a wide series of structurally unrelated periplasmic proteins from methionine oxidation. The catalytic subunit MsrP is non-stereospecific, being able to reduce both (R-) and (S-) diastereoisomers of methionine sulfoxide
CBNIABCL_01486	 hypothetical protein	LFTS_01204	 hypothetical protein	
CBNIABCL_01485	 Endoribonuclease HigB	LFTS_01205	 Plasmid maintenance system killer protein	PFAM Plasmid maintenance system killer
CBNIABCL_01484	 putative HTH-type transcriptional regulator YbaQ	LFTS_01206	 putative HTH-type transcriptional regulator YbaQ	Helix-turn-helix XRE-family like proteins
CBNIABCL_01483	 hypothetical protein	LFTS_01207	 hypothetical protein	
CBNIABCL_01482	 hypothetical protein	LFTS_01208	 hypothetical protein	 Not found 
CBNIABCL_01481	 hypothetical protein	LFTS_01209	 hypothetical protein	Domain of unknown function DUF29
CBNIABCL_01480	 hypothetical protein	LFTS_01210	 putative transposase	Transposase, IS605 OrfB
CBNIABCL_01479	 hypothetical protein	LFTS_01211	 hypothetical protein	 Not found 
CBNIABCL_01478	 Antitoxin HigA	LFTS_01212	 addiction module antidote protein, HigA family	XRE family transcriptional regulator
CBNIABCL_01477	 Transcriptional regulatory protein ZraR	LFTS_01213	 two-component system, NtrC family, response regulator AtoC	Bacterial regulatory protein, Fis family
CBNIABCL_01476	 Sensor protein ZraS	LFTS_01214	 PAS domain S-box-containing protein	GAF domain
CBNIABCL_01475	 Threonylcarbamoyl-AMP synthase	LFTS_01215	 translation factor SUA5	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine
CBNIABCL_01474	 Dihydroxy-acid dehydratase	LFTS_01216	 dihydroxyacid dehydratase	Belongs to the IlvD Edd family
CBNIABCL_01473	 hypothetical protein	LFTS_01217	 hypothetical protein	
CBNIABCL_01472	 hypothetical protein	LFTS_01218	 hypothetical protein	Belongs to the UPF0753 family
CBNIABCL_01471	 NADH-quinone oxidoreductase subunit L	LFTS_01219	 NAD(P)H-quinone oxidoreductase subunit 5	NADH-quinone oxidoreductase
CBNIABCL_01470	 hypothetical protein	LFTS_01220	 hypothetical protein	addiction module antidote protein
CBNIABCL_01469	 hypothetical protein	LFTS_01221	 hypothetical protein	
CBNIABCL_01468	 hypothetical protein	LFTS_01222	 hypothetical protein	Protein of unknown function (DUF1778)
CBNIABCL_01467	 Histidinol-phosphate aminotransferase	LFTS_01223	 histidinol-phosphate aminotransferase	Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family. Histidinol-phosphate aminotransferase subfamily
CBNIABCL_01466	 hypothetical protein	LFTS_01224	 Endonuclease, Uma2 family (restriction endonuclease fold)	protein conserved in cyanobacteria
CBNIABCL_01465	 hypothetical protein	LFTS_01225	 hypothetical protein	Domain of unknown function (DUF4336)
CBNIABCL_01464	 Hydroxyacylglutathione hydrolase	LFTS_01226	 Glyoxylase, beta-lactamase superfamily II	Thiolesterase that catalyzes the hydrolysis of S-D- lactoyl-glutathione to form glutathione and D-lactic acid
CBNIABCL_01463	 hypothetical protein	LFTS_01227	 Methyltransferase domain-containing protein	Methyltransferase domain
CBNIABCL_01462	 hypothetical protein	LFTS_01228	 hypothetical protein	EthD domain
CBNIABCL_01461	 hypothetical protein	LFTS_01229	 Acetyltransferase (GNAT) family protein	acetyltransferase
CBNIABCL_01460	 Putative lipoprotein LppC	LFTS_01230	 putative kinase inhibitor protein	positive regulation of acetylcholine metabolic process
CBNIABCL_01459	 Trans-2,3-dihydro-3-hydroxyanthranilate isomerase	LFTS_01231	 putative isomerase YddE	PFAM Phenazine biosynthesis PhzC PhzF protein
CBNIABCL_01458	 hypothetical protein	LFTS_01232	 BrnA antitoxin of type II toxin-antitoxin system	BrnA antitoxin of type II toxin-antitoxin system
CBNIABCL_01457	 hypothetical protein	LFTS_01233	 hypothetical protein	
CBNIABCL_01456	 Metallothiol transferase FosB	LFTS_01234	 Glyoxalase-like domain protein	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
CBNIABCL_01455	 hypothetical protein	LFTS_01235	 Cupin domain protein	conserved protein, contains double-stranded beta-helix domain
CBNIABCL_01454	 hypothetical protein	LFTS_01236	 hypothetical protein	Acetyltransferase (GNAT) domain
CBNIABCL_01453	 hypothetical protein	LFTS_01237	 hypothetical protein	 Not found 
CBNIABCL_01452	 Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsC	LFTS_01238	 NADPH2:quinone reductase	Zinc-binding dehydrogenase
CBNIABCL_01451	 hypothetical protein	LFTS_01239	 Phenazine biosynthesis-like protein	PFAM Phenazine biosynthesis PhzC PhzF protein
CBNIABCL_01450	 HTH-type quorum sensing-dependent transcriptional regulator RpaR	LFTS_01240	 LuxR family transcriptional regulator	Autoinducer binding domain
CBNIABCL_01449	 hypothetical protein	LFTS_01241	 putative membrane protein	Putative exopolysaccharide Exporter (EPS-E)
CBNIABCL_01448	 D-inositol 3-phosphate glycosyltransferase	LFTS_01242	 Glycosyltransferase involved in cell wall bisynthesis	Glycosyl transferases group 1
CBNIABCL_01447	 hypothetical protein	LFTS_01243	 hypothetical protein	 Not found 
CBNIABCL_01446	 hypothetical protein	LFTS_01244	 hypothetical protein	Gaf domain
CBNIABCL_01445	 hypothetical protein	LFTS_01245	 Glycoside-hydrolase family GH114	Glycoside-hydrolase family GH114
CBNIABCL_01444	 hypothetical protein	LFTS_01246	 TolB amino-terminal domain-containing protein	cAMP biosynthetic process
CBNIABCL_01443	 Beta-barrel assembly-enhancing protease	LFTS_01247	 Tetratricopeptide repeat protein	chaperone-mediated protein folding
CBNIABCL_01442	 Beta-barrel assembly-enhancing protease	LFTS_01248	 Tetratricopeptide repeat-containing protein	chaperone-mediated protein folding
CBNIABCL_01440	 hypothetical protein	LFTS_01249	 putative membrane protein-like protein	Glycoside-hydrolase family GH114
CBNIABCL_01439	 hypothetical protein	LFTS_01250	 WYL domain-containing protein	WYL domain
CBNIABCL_01438	 hypothetical protein	LFTS_01251	 hypothetical protein	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
CBNIABCL_01437	 Dihydroxy-acid dehydratase	LFTS_01252	 dihydroxy-acid dehydratase	Belongs to the IlvD Edd family
CBNIABCL_01436	 hypothetical protein	LFTS_01253	 hypothetical protein	 Not found 
CBNIABCL_01435	 Serine/threonine-protein kinase HipA	LFTS_01254	 serine/threonine-protein kinase HipA	HipA N-terminal domain protein
CBNIABCL_01434	 hypothetical protein	LFTS_01255	 transcriptional regulator, y4mF family	Helix-turn-helix XRE-family like proteins
CBNIABCL_01433	 hypothetical protein	LFTS_01256	 hypothetical protein	 Not found 
CBNIABCL_01432	 hypothetical protein	LFTS_01257	 hypothetical protein	 Not found 
CBNIABCL_01431	 hypothetical protein	LFTS_01258	 prevent-host-death family protein	Antitoxin component of a toxin-antitoxin (TA) module
CBNIABCL_01430	 hypothetical protein	LFTS_01259	 putative nucleic acid-binding protein, contains PIN domain	Toxic component of a toxin-antitoxin (TA) module. An RNase
CBNIABCL_01429	 hypothetical protein	LFTS_01260	 hypothetical protein	 Not found 
CBNIABCL_01428	 hypothetical protein	LFTS_01261	 hypothetical protein	
CBNIABCL_01427	 hypothetical protein	LFTS_01262	 hypothetical protein	alpha beta
CBNIABCL_01426	 hypothetical protein	LFTS_01263	 IPT/TIG domain-containing protein	
CBNIABCL_01425	 hypothetical protein	LFTS_01264	 hypothetical protein	 Not found 
CBNIABCL_01424	 mRNA interferase HigB	LFTS_01265	 mRNA interferase HigB	HigB_toxin, RelE-like toxic component of a toxin-antitoxin system
CBNIABCL_01423	 Antitoxin HigA	LFTS_01266	 HTH-type transcriptional regulator / antitoxin HigA	transcription regulator containing HTH domain
CBNIABCL_01422	 hypothetical protein	LFTS_01267	 hypothetical protein	ATPase (AAA superfamily
CBNIABCL_01421	 hypothetical protein	LFTS_01268	 hypothetical protein	 Not found 
CBNIABCL_01420	 hypothetical protein	LFTS_01269	 hypothetical protein	Protein of unknown function (DUF1778)
CBNIABCL_01419	 hypothetical protein	LFTS_01270	 Acetyltransferase (GNAT) domain-containing protein	Acetyltransferase (GNAT) domain
CBNIABCL_01418	 hypothetical protein	LFTS_01271	 Nucleotidyl transferase AbiEii toxin, Type IV TA system	Nucleotidyl transferase AbiEii toxin, Type IV TA system
CBNIABCL_01417	 hypothetical protein	LFTS_01272	 hypothetical protein	 Not found 
CBNIABCL_01416	 hypothetical protein	LFTS_01273	 Transposase IS200 like protein	Transposase IS200 like
CBNIABCL_01415	 hypothetical protein	LFTS_01274	 hypothetical protein	 Not found 
CBNIABCL_01414	 hypothetical protein	LFTS_01275	 TM2 domain-containing membrane protein YozV	TM2 domain
CBNIABCL_01413	 hypothetical protein	LFTS_01276	 hypothetical protein	 Not found 
CBNIABCL_01412	 hypothetical protein	LFTS_01277	 hypothetical protein	 Not found 
CBNIABCL_01411	 hypothetical protein	LFTS_01278	 hypothetical protein	 Not found 
CBNIABCL_01410	 hypothetical protein	LFTS_01279	 hypothetical protein	 Not found 
CBNIABCL_01409	 hypothetical protein	LFTS_01280	 inner membrane protein	LexA-binding, inner membrane-associated putative hydrolase
CBNIABCL_01408	 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	LFTS_01281	 putative phosphoesterase	acid phosphatase activity
CBNIABCL_01407	 hypothetical protein	LFTS_01282	 hypothetical protein	 Not found 
CBNIABCL_01406	 Chaperone protein DnaJ	LFTS_01283	 DnaJ domain-containing protein	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins
CBNIABCL_01405	 hypothetical protein	LFTS_01284	 mRNA interferase MazF	PemK-like, MazF-like toxin of type II toxin-antitoxin system
CBNIABCL_01404	 ECF RNA polymerase sigma factor SigM	LFTS_01285	 RNA polymerase, sigma subunit, SigZ	Sigma-70, region 4
CBNIABCL_01403	 Erythromycin 3''-O-methyltransferase	LFTS_01286	 Methyltransferase domain-containing protein	Hypothetical methyltransferase
CBNIABCL_01402	 hypothetical protein	LFTS_01287	 hypothetical protein	 Not found 
CBNIABCL_01401	 Tyrosine recombinase XerC	LFTS_01288	 Site-specific recombinase XerD	Belongs to the 'phage' integrase family
CBNIABCL_01399	 Outer membrane protein assembly factor BamA	LFTS_01290	 Beta-barrel assembly machine subunit BamA	Surface antigen
CBNIABCL_01398	 hypothetical protein	LFTS_01291	 periplasmic chaperone for outer membrane proteins Skp	unfolded protein binding
CBNIABCL_01397	 UDP-3-O-acylglucosamine N-acyltransferase	LFTS_01292	 UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	Catalyzes the N-acylation of UDP-3-O-acylglucosamine using 3-hydroxyacyl-ACP as the acyl donor. Is involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell
CBNIABCL_01396	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	LFTS_01293	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase	Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs
CBNIABCL_01395	 Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	LFTS_01294	 acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase	Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell
CBNIABCL_01394	 hypothetical protein	LFTS_01295	 hypothetical protein	Protein of unknown function (DUF1009)
CBNIABCL_01393	 Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase	LFTS_01296	 putative dehydrogenase	Oxidoreductase family, NAD-binding Rossmann fold
CBNIABCL_01392	 Lipid-A-disaccharide synthase	LFTS_01297	 lipid-A-disaccharide synthase	Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell
CBNIABCL_01391	 UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD	LFTS_01298	 Glycosyl transferase family 2	Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology
CBNIABCL_01390	 Lipid A export ATP-binding/permease protein MsbA	LFTS_01299	 ATP-binding cassette, subfamily B, MsbA	Evidence 2a Function of homologous gene experimentally demonstrated in an other organism
CBNIABCL_01389	 3-deoxy-D-manno-octulosonic acid transferase	LFTS_01300	 3-deoxy-D-manno-octulosonic-acid transferase	3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)
CBNIABCL_01388	 Tetraacyldisaccharide 4'-kinase	LFTS_01301	 lipid-A-disaccharide kinase	Transfers the gamma-phosphate of ATP to the 4'-position of a tetraacyldisaccharide 1-phosphate intermediate (termed DS-1- P) to form tetraacyldisaccharide 1,4'-bis-phosphate (lipid IVA)
CBNIABCL_01387	 Lipid A biosynthesis lauroyltransferase	LFTS_01302	 KDO2-lipid IV(A) lauroyltransferase	Bacterial lipid A biosynthesis acyltransferase
CBNIABCL_01386	 hypothetical protein	LFTS_01303	 Glycosyltransferase family 9 (heptosyltransferase)	ADP-heptose-lipopolysaccharide heptosyltransferase activity
