locus_tag	ftype	length_bp	gene	EC_number	COG	product
DDCPAMKM_01285	CDS	1920	mutL			DNA mismatch repair protein MutL
DDCPAMKM_01286	gene	762	cpoB_5			
DDCPAMKM_01286	CDS	762	cpoB_5			Cell division coordinator CpoB
DDCPAMKM_01287	gene	1359	tolB_1			
DDCPAMKM_01287	CDS	1359	tolB_1			Tol-Pal system protein TolB
DDCPAMKM_01288	gene	819				
DDCPAMKM_01288	CDS	819				hypothetical protein
DDCPAMKM_01289	gene	423	exbD			
DDCPAMKM_01289	CDS	423	exbD		COG0848	Biopolymer transport protein ExbD
DDCPAMKM_01290	gene	705	tolQ_2			
DDCPAMKM_01290	CDS	705	tolQ_2		COG0811	Tol-Pal system protein TolQ
DDCPAMKM_01291	gene	77				
DDCPAMKM_01291	tRNA	77				tRNA-Asp(gtc)
DDCPAMKM_01292	gene	588	Hgd_2			
DDCPAMKM_01292	CDS	588	Hgd_2	1.1.1.291		2-(hydroxymethyl)glutarate dehydrogenase
DDCPAMKM_01293	gene	360				
DDCPAMKM_01293	CDS	360		1.1.1.373		3-sulfolactaldehyde reductase
DDCPAMKM_01294	gene	678				
DDCPAMKM_01294	CDS	678				hypothetical protein
DDCPAMKM_01295	gene	276				
DDCPAMKM_01295	CDS	276				hypothetical protein
DDCPAMKM_01296	gene	228				
DDCPAMKM_01296	CDS	228				hypothetical protein
DDCPAMKM_01297	gene	462				
DDCPAMKM_01297	CDS	462				hypothetical protein
DDCPAMKM_01298	gene	267				
DDCPAMKM_01298	CDS	267				hypothetical protein
DDCPAMKM_01299	gene	393				
DDCPAMKM_01299	CDS	393				hypothetical protein
DDCPAMKM_01300	gene	3150	cusA			
DDCPAMKM_01300	CDS	3150	cusA		COG3696	Cation efflux system protein CusA
DDCPAMKM_01301	gene	1260	cusB			
DDCPAMKM_01301	CDS	1260	cusB			Cation efflux system protein CusB
DDCPAMKM_01302	gene	1428				
DDCPAMKM_01302	CDS	1428				hypothetical protein
DDCPAMKM_01303	gene	465				
DDCPAMKM_01303	CDS	465				hypothetical protein
DDCPAMKM_01304	gene	279				
DDCPAMKM_01304	CDS	279				hypothetical protein
DDCPAMKM_01305	gene	537				
DDCPAMKM_01305	CDS	537				hypothetical protein
DDCPAMKM_01306	gene	309				
DDCPAMKM_01306	CDS	309				hypothetical protein
DDCPAMKM_01307	gene	231				
DDCPAMKM_01307	CDS	231				hypothetical protein
DDCPAMKM_01308	gene	300				
DDCPAMKM_01308	CDS	300				hypothetical protein
DDCPAMKM_01309	gene	279				
DDCPAMKM_01309	CDS	279				hypothetical protein
DDCPAMKM_01310	gene	633				
DDCPAMKM_01310	CDS	633				hypothetical protein
DDCPAMKM_01311	gene	609				
DDCPAMKM_01311	CDS	609				hypothetical protein
DDCPAMKM_01312	gene	1083				
DDCPAMKM_01312	CDS	1083				hypothetical protein
DDCPAMKM_01313	gene	204				
DDCPAMKM_01313	CDS	204				hypothetical protein
DDCPAMKM_01314	gene	807				
DDCPAMKM_01314	CDS	807				hypothetical protein
DDCPAMKM_01315	gene	1692	ydaP			
DDCPAMKM_01315	CDS	1692	ydaP		COG0028	Putative thiamine pyrophosphate-containing protein YdaP
DDCPAMKM_01316	gene	195				
DDCPAMKM_01316	CDS	195				hypothetical protein
DDCPAMKM_01317	gene	489				
DDCPAMKM_01317	CDS	489				hypothetical protein
DDCPAMKM_01318	gene	612				
DDCPAMKM_01318	CDS	612				IS200/IS605 family transposase ISDge19
DDCPAMKM_01319	gene	360				
DDCPAMKM_01319	CDS	360				hypothetical protein
DDCPAMKM_01320	gene	345				
DDCPAMKM_01320	CDS	345				hypothetical protein
DDCPAMKM_01321	gene	1323				
DDCPAMKM_01321	CDS	1323				hypothetical protein
DDCPAMKM_01322	gene	312				
DDCPAMKM_01322	CDS	312				hypothetical protein
DDCPAMKM_01323	gene	1218				
DDCPAMKM_01323	CDS	1218				IS256 family transposase ISPeth3
DDCPAMKM_01324	gene	303				
DDCPAMKM_01324	CDS	303				hypothetical protein
DDCPAMKM_01325	gene	375				
DDCPAMKM_01325	CDS	375				hypothetical protein
DDCPAMKM_01326	gene	609				
DDCPAMKM_01326	CDS	609				hypothetical protein
DDCPAMKM_01327	gene	303				
DDCPAMKM_01327	CDS	303				hypothetical protein
DDCPAMKM_01328	gene	77				
DDCPAMKM_01328	misc_RNA	77				Intron_gpII
DDCPAMKM_01329	gene	183				
DDCPAMKM_01329	CDS	183				hypothetical protein
DDCPAMKM_01330	gene	411				
DDCPAMKM_01330	CDS	411				hypothetical protein
DDCPAMKM_01331	gene	342				
DDCPAMKM_01331	CDS	342				hypothetical protein
DDCPAMKM_01332	gene	486				
DDCPAMKM_01332	CDS	486				hypothetical protein
DDCPAMKM_01333	gene	2268				
DDCPAMKM_01333	CDS	2268				hypothetical protein
DDCPAMKM_01334	gene	450				
DDCPAMKM_01334	CDS	450				hypothetical protein
DDCPAMKM_01335	gene	165				
DDCPAMKM_01335	CDS	165				hypothetical protein
DDCPAMKM_01336	gene	77				
DDCPAMKM_01336	misc_RNA	77				Intron_gpII
DDCPAMKM_01337	gene	402				
DDCPAMKM_01337	CDS	402				hypothetical protein
DDCPAMKM_01338	gene	564				
DDCPAMKM_01338	CDS	564				hypothetical protein
DDCPAMKM_01339	gene	405				
DDCPAMKM_01339	CDS	405				hypothetical protein
DDCPAMKM_01340	gene	978	nanM_1			
DDCPAMKM_01340	CDS	978	nanM_1	5.1.3.24		N-acetylneuraminate epimerase
DDCPAMKM_01341	gene	816	cugP			
DDCPAMKM_01341	CDS	816	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
DDCPAMKM_01342	gene	324	rfbG_1			
DDCPAMKM_01342	CDS	324	rfbG_1	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
DDCPAMKM_01343	gene	1245				
DDCPAMKM_01343	CDS	1245				hypothetical protein
DDCPAMKM_01344	gene	201				
DDCPAMKM_01344	CDS	201				hypothetical protein
DDCPAMKM_01345	gene	306	rfbG_2			
DDCPAMKM_01345	CDS	306	rfbG_2	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
DDCPAMKM_01346	gene	234				
DDCPAMKM_01346	CDS	234				hypothetical protein
DDCPAMKM_01347	gene	660				
DDCPAMKM_01347	CDS	660				hypothetical protein
DDCPAMKM_01348	gene	621				
DDCPAMKM_01348	CDS	621				IS3 family transposase ISGur6
DDCPAMKM_01349	gene	783				
DDCPAMKM_01349	CDS	783				hypothetical protein
DDCPAMKM_01350	gene	450				
DDCPAMKM_01350	CDS	450				hypothetical protein
DDCPAMKM_01351	gene	450				
DDCPAMKM_01351	CDS	450				hypothetical protein
DDCPAMKM_01352	gene	1020				
DDCPAMKM_01352	CDS	1020				hypothetical protein
DDCPAMKM_01353	gene	1248				
DDCPAMKM_01353	CDS	1248				hypothetical protein
DDCPAMKM_01354	gene	516				
DDCPAMKM_01354	CDS	516				hypothetical protein
DDCPAMKM_01355	gene	1248				
DDCPAMKM_01355	CDS	1248				hypothetical protein
DDCPAMKM_01356	gene	630				
DDCPAMKM_01356	CDS	630				hypothetical protein
DDCPAMKM_01357	gene	1668				
DDCPAMKM_01357	CDS	1668				IS1634 family transposase ISTth3
DDCPAMKM_01358	gene	861	rfbD_1			
DDCPAMKM_01358	CDS	861	rfbD_1	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
DDCPAMKM_01359	gene	582	rmlC_1			
DDCPAMKM_01359	CDS	582	rmlC_1	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
DDCPAMKM_01360	gene	1236				
DDCPAMKM_01360	CDS	1236				hypothetical protein
DDCPAMKM_01361	gene	549	rmlC_2			
DDCPAMKM_01361	CDS	549	rmlC_2	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
DDCPAMKM_01362	gene	1197				
DDCPAMKM_01362	CDS	1197				hypothetical protein
DDCPAMKM_01363	gene	1230				
DDCPAMKM_01363	CDS	1230				IS110 family transposase ISArsp3
DDCPAMKM_01364	gene	771				
DDCPAMKM_01364	CDS	771		2.4.1.187		N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
DDCPAMKM_01365	gene	714	tagH			
DDCPAMKM_01365	CDS	714	tagH	7.5.2.4		Teichoic acids export ATP-binding protein TagH
DDCPAMKM_01366	gene	795	tagG			
DDCPAMKM_01366	CDS	795	tagG		COG1682	Teichoic acid translocation permease protein TagG
DDCPAMKM_01367	gene	942	lhgD			
DDCPAMKM_01367	CDS	942	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
DDCPAMKM_01368	gene	969				
DDCPAMKM_01368	CDS	969				hypothetical protein
DDCPAMKM_01369	gene	1584				
DDCPAMKM_01369	CDS	1584				hypothetical protein
DDCPAMKM_01370	gene	270				
DDCPAMKM_01370	CDS	270				hypothetical protein
DDCPAMKM_01371	gene	426				
DDCPAMKM_01371	CDS	426				hypothetical protein
DDCPAMKM_01372	gene	177				
DDCPAMKM_01372	CDS	177				hypothetical protein
DDCPAMKM_01373	gene	423				
DDCPAMKM_01373	CDS	423				hypothetical protein
DDCPAMKM_01374	gene	309				
DDCPAMKM_01374	CDS	309				hypothetical protein
DDCPAMKM_01375	gene	327				
DDCPAMKM_01375	CDS	327				hypothetical protein
DDCPAMKM_01376	gene	1503				
DDCPAMKM_01376	CDS	1503				hypothetical protein
DDCPAMKM_01377	gene	891	gltC_2			
DDCPAMKM_01377	CDS	891	gltC_2			HTH-type transcriptional regulator GltC
DDCPAMKM_01378	gene	969				
DDCPAMKM_01378	CDS	969				hypothetical protein
DDCPAMKM_01379	gene	1833				
DDCPAMKM_01379	CDS	1833				hypothetical protein
DDCPAMKM_01380	gene	177				
DDCPAMKM_01380	CDS	177				hypothetical protein
DDCPAMKM_01381	gene	180				
DDCPAMKM_01381	CDS	180				hypothetical protein
DDCPAMKM_01382	gene	792	arsM			
DDCPAMKM_01382	CDS	792	arsM	2.1.1.137		Arsenite methyltransferase
DDCPAMKM_01383	gene	537	sigM			
DDCPAMKM_01383	CDS	537	sigM		COG1595	ECF RNA polymerase sigma factor SigM
DDCPAMKM_01384	gene	1071				
DDCPAMKM_01384	CDS	1071		3.1.4.-	COG3437	putative cyclic di-GMP phosphodiesterase
DDCPAMKM_01385	gene	387	divK			
DDCPAMKM_01385	CDS	387	divK			Polar-differentiation response regulator DivK
DDCPAMKM_01386	gene	2769	rcsC_2			
DDCPAMKM_01386	CDS	2769	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
DDCPAMKM_01387	gene	291				
DDCPAMKM_01387	CDS	291				hypothetical protein
DDCPAMKM_01388	gene	585	COQ5_2			
DDCPAMKM_01388	CDS	585	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
DDCPAMKM_01389	gene	372				
DDCPAMKM_01389	CDS	372				hypothetical protein
DDCPAMKM_01390	gene	1392	miaB_1			
DDCPAMKM_01390	CDS	1392	miaB_1	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
DDCPAMKM_01391	gene	1134				
DDCPAMKM_01391	CDS	1134				hypothetical protein
DDCPAMKM_01392	gene	1089				
DDCPAMKM_01392	CDS	1089				hypothetical protein
DDCPAMKM_01393	gene	1095	hemH			
DDCPAMKM_01393	CDS	1095	hemH	4.99.1.1	COG0276	Ferrochelatase
DDCPAMKM_01394	gene	1068				
DDCPAMKM_01394	CDS	1068				hypothetical protein
DDCPAMKM_01395	gene	1050				
DDCPAMKM_01395	CDS	1050				hypothetical protein
DDCPAMKM_01396	gene	1314	rhlE			
DDCPAMKM_01396	CDS	1314	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
DDCPAMKM_01397	gene	507				
DDCPAMKM_01397	CDS	507				hypothetical protein
DDCPAMKM_01398	gene	285				
DDCPAMKM_01398	CDS	285				hypothetical protein
DDCPAMKM_01399	gene	321				
DDCPAMKM_01399	CDS	321				hypothetical protein
DDCPAMKM_01400	gene	1095				
DDCPAMKM_01400	CDS	1095				hypothetical protein
DDCPAMKM_01401	gene	528				
DDCPAMKM_01401	CDS	528				hypothetical protein
DDCPAMKM_01402	gene	114				
DDCPAMKM_01402	CDS	114				hypothetical protein
DDCPAMKM_01403	gene	1350				
DDCPAMKM_01403	CDS	1350				IS1380 family transposase ISLefe1
DDCPAMKM_01404	gene	306	fdx_1			
DDCPAMKM_01404	CDS	306	fdx_1		COG0633	2Fe-2S ferredoxin
DDCPAMKM_01405	gene	1068				
DDCPAMKM_01405	CDS	1068				hypothetical protein
DDCPAMKM_01406	gene	501				
DDCPAMKM_01406	CDS	501				hypothetical protein
DDCPAMKM_01407	gene	384				
DDCPAMKM_01407	CDS	384				hypothetical protein
DDCPAMKM_01408	gene	1485				
DDCPAMKM_01408	CDS	1485				hypothetical protein
DDCPAMKM_01409	gene	663				
DDCPAMKM_01409	CDS	663				hypothetical protein
DDCPAMKM_01410	gene	993				
DDCPAMKM_01410	CDS	993			COG0053	putative cation efflux system protein
DDCPAMKM_01411	gene	249				
DDCPAMKM_01411	CDS	249				hypothetical protein
DDCPAMKM_01412	gene	822				
DDCPAMKM_01412	CDS	822				hypothetical protein
DDCPAMKM_01413	gene	1485				
DDCPAMKM_01413	CDS	1485				hypothetical protein
DDCPAMKM_01414	gene	1071	mtnA			
DDCPAMKM_01414	CDS	1071	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
DDCPAMKM_01415	gene	1533	lysU			
DDCPAMKM_01415	CDS	1533	lysU	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
DDCPAMKM_01416	gene	1236	lolC			
DDCPAMKM_01416	CDS	1236	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
DDCPAMKM_01417	gene	696	lolD			
DDCPAMKM_01417	CDS	696	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
DDCPAMKM_01418	gene	321				
DDCPAMKM_01418	CDS	321				hypothetical protein
DDCPAMKM_01419	gene	366				
DDCPAMKM_01419	CDS	366				hypothetical protein
DDCPAMKM_01420	gene	354				
DDCPAMKM_01420	CDS	354				hypothetical protein
DDCPAMKM_01421	gene	1206	aatA			
DDCPAMKM_01421	CDS	1206	aatA	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
DDCPAMKM_01422	gene	495	coaD			
DDCPAMKM_01422	CDS	495	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
DDCPAMKM_01423	gene	582				
DDCPAMKM_01423	CDS	582				hypothetical protein
DDCPAMKM_01424	gene	471				
DDCPAMKM_01424	CDS	471				hypothetical protein
DDCPAMKM_01425	gene	672	tsaC			
DDCPAMKM_01425	CDS	672	tsaC	2.7.7.87		Threonylcarbamoyl-AMP synthase
DDCPAMKM_01426	gene	1302	purD			
DDCPAMKM_01426	CDS	1302	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
DDCPAMKM_01427	gene	1578	purH			
DDCPAMKM_01427	CDS	1578	purH		COG0138	Bifunctional purine biosynthesis protein PurH
DDCPAMKM_01428	gene	1533				
DDCPAMKM_01428	CDS	1533				hypothetical protein
DDCPAMKM_01429	gene	843	ppm1			
DDCPAMKM_01429	CDS	843	ppm1	2.4.1.-		Polyprenol monophosphomannose synthase
DDCPAMKM_01430	gene	1188				
DDCPAMKM_01430	CDS	1188				hypothetical protein
DDCPAMKM_01431	gene	1656				
DDCPAMKM_01431	CDS	1656				hypothetical protein
DDCPAMKM_01432	gene	564				
DDCPAMKM_01432	CDS	564				hypothetical protein
DDCPAMKM_01433	gene	738	cysE			
DDCPAMKM_01433	CDS	738	cysE	2.3.1.30	COG1045	Serine acetyltransferase
DDCPAMKM_01434	gene	489	ispF			
DDCPAMKM_01434	CDS	489	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
DDCPAMKM_01435	gene	861	tarI			
DDCPAMKM_01435	CDS	861	tarI	2.7.7.40		Ribitol-5-phosphate cytidylyltransferase
DDCPAMKM_01436	gene	1026	yacL			
DDCPAMKM_01436	CDS	1026	yacL	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
DDCPAMKM_01437	gene	1320				
DDCPAMKM_01437	CDS	1320				hypothetical protein
DDCPAMKM_01438	gene	108				
DDCPAMKM_01438	CDS	108				hypothetical protein
DDCPAMKM_01439	gene	1419	bioA			
DDCPAMKM_01439	CDS	1419	bioA	2.6.1.62		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
DDCPAMKM_01440	gene	879				
DDCPAMKM_01440	CDS	879				hypothetical protein
DDCPAMKM_01441	gene	924	dagK			
DDCPAMKM_01441	CDS	924	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
DDCPAMKM_01442	gene	243				
DDCPAMKM_01442	CDS	243				hypothetical protein
DDCPAMKM_01443	gene	1203	mshA_3			
DDCPAMKM_01443	CDS	1203	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
DDCPAMKM_01444	gene	726				
DDCPAMKM_01444	CDS	726				hypothetical protein
DDCPAMKM_01445	gene	1065	rfaQ_1			
DDCPAMKM_01445	CDS	1065	rfaQ_1	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
DDCPAMKM_01446	gene	1101	rfaQ_2			
DDCPAMKM_01446	CDS	1101	rfaQ_2	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
DDCPAMKM_01447	gene	186				
DDCPAMKM_01447	CDS	186				hypothetical protein
DDCPAMKM_01448	gene	561	gmhB			
DDCPAMKM_01448	CDS	561	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
DDCPAMKM_01449	gene	1065	rfaF			
DDCPAMKM_01449	CDS	1065	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
DDCPAMKM_01450	gene	1035				
DDCPAMKM_01450	CDS	1035				hypothetical protein
DDCPAMKM_01451	gene	978				
DDCPAMKM_01451	CDS	978				hypothetical protein
DDCPAMKM_01452	gene	894				
DDCPAMKM_01452	CDS	894				hypothetical protein
DDCPAMKM_01453	gene	1731				
DDCPAMKM_01453	CDS	1731				hypothetical protein
DDCPAMKM_01454	gene	813				
DDCPAMKM_01454	CDS	813				hypothetical protein
DDCPAMKM_01455	gene	258				
DDCPAMKM_01455	CDS	258				hypothetical protein
DDCPAMKM_01456	gene	1218				
DDCPAMKM_01456	CDS	1218				IS256 family transposase ISPeth3
DDCPAMKM_01457	gene	498				
DDCPAMKM_01457	CDS	498				hypothetical protein
DDCPAMKM_01458	gene	1134				
DDCPAMKM_01458	CDS	1134				hypothetical protein
DDCPAMKM_01459	gene	1275				
DDCPAMKM_01459	CDS	1275				hypothetical protein
DDCPAMKM_01460	gene	957	lpxL			
DDCPAMKM_01460	CDS	957	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
DDCPAMKM_01461	gene	1182	lpxK			
DDCPAMKM_01461	CDS	1182	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
DDCPAMKM_01462	gene	1401	waaA			
DDCPAMKM_01462	CDS	1401	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
DDCPAMKM_01463	gene	1824	msbA			
DDCPAMKM_01463	CDS	1824	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
DDCPAMKM_01464	gene	1248	lpxB			
DDCPAMKM_01464	CDS	1248	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
DDCPAMKM_01465	gene	975	iolX			
DDCPAMKM_01465	CDS	975	iolX	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
DDCPAMKM_01466	gene	858	lpxI			
DDCPAMKM_01466	CDS	858	lpxI	3.6.1.54	COG3494	UDP-2,3-diacylglucosamine pyrophosphatase LpxI
DDCPAMKM_01467	gene	840	lpxA_2			
DDCPAMKM_01467	CDS	840	lpxA_2	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
DDCPAMKM_01468	gene	465	fabZ			
DDCPAMKM_01468	CDS	465	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
DDCPAMKM_01469	gene	1074	lpxD			
DDCPAMKM_01469	CDS	1074	lpxD	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
DDCPAMKM_01470	gene	612				
DDCPAMKM_01470	CDS	612				hypothetical protein
DDCPAMKM_01471	gene	2346	bamA			
DDCPAMKM_01471	CDS	2346	bamA		COG4775	Outer membrane protein assembly factor BamA
DDCPAMKM_01472	gene	76				
DDCPAMKM_01472	tRNA	76				tRNA-Phe(gaa)
DDCPAMKM_01473	gene	984				
DDCPAMKM_01473	CDS	984				hypothetical protein
DDCPAMKM_01474	gene	1440	cbiA			
DDCPAMKM_01474	CDS	1440	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
DDCPAMKM_01475	gene	660				
DDCPAMKM_01475	CDS	660			COG0328	Bifunctional protein
DDCPAMKM_01476	gene	933				
DDCPAMKM_01476	CDS	933				hypothetical protein
DDCPAMKM_01477	gene	1032	iolS_2			
DDCPAMKM_01477	CDS	1032	iolS_2	1.1.1.-	COG0667	Aldo-keto reductase IolS
DDCPAMKM_01478	gene	423				
DDCPAMKM_01478	CDS	423				hypothetical protein
DDCPAMKM_01479	gene	795				
DDCPAMKM_01479	CDS	795				hypothetical protein
DDCPAMKM_01480	gene	747	cobS			
DDCPAMKM_01480	CDS	747	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
DDCPAMKM_01481	gene	1083	cobT			
DDCPAMKM_01481	CDS	1083	cobT	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
DDCPAMKM_01482	gene	564	cobP			
DDCPAMKM_01482	CDS	564	cobP	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobP
DDCPAMKM_01483	gene	591	tpm			
DDCPAMKM_01483	CDS	591	tpm	2.1.1.67		Thiopurine S-methyltransferase
DDCPAMKM_01484	gene	471				
DDCPAMKM_01484	CDS	471				hypothetical protein
DDCPAMKM_01485	gene	825				
DDCPAMKM_01485	CDS	825				hypothetical protein
DDCPAMKM_01486	gene	1119	dnaJ_1			
DDCPAMKM_01486	CDS	1119	dnaJ_1		COG0484	Chaperone protein DnaJ
DDCPAMKM_01487	gene	1917	dnaK_1			
DDCPAMKM_01487	CDS	1917	dnaK_1			Chaperone protein DnaK
DDCPAMKM_01488	gene	546	grpE			
DDCPAMKM_01488	CDS	546	grpE		COG0576	Protein GrpE
DDCPAMKM_01489	gene	1044	hrcA			
DDCPAMKM_01489	CDS	1044	hrcA		COG1420	Heat-inducible transcription repressor HrcA
DDCPAMKM_01490	gene	1593	farB_1			
DDCPAMKM_01490	CDS	1593	farB_1			Fatty acid resistance protein FarB
DDCPAMKM_01491	gene	963	emrK			
DDCPAMKM_01491	CDS	963	emrK		COG1566	putative multidrug resistance protein EmrK
DDCPAMKM_01492	gene	1404	bepC			
DDCPAMKM_01492	CDS	1404	bepC			Outer membrane efflux protein BepC
DDCPAMKM_01493	gene	1602	farB_2			
DDCPAMKM_01493	CDS	1602	farB_2			Fatty acid resistance protein FarB
DDCPAMKM_01494	gene	972	emrA_1			
DDCPAMKM_01494	CDS	972	emrA_1			Colistin resistance protein EmrA
DDCPAMKM_01495	gene	627				
DDCPAMKM_01495	CDS	627				hypothetical protein
DDCPAMKM_01496	gene	678	betI			
DDCPAMKM_01496	CDS	678	betI			HTH-type transcriptional regulator BetI
DDCPAMKM_01497	gene	657				
DDCPAMKM_01497	CDS	657				hypothetical protein
DDCPAMKM_01498	gene	441	queF			
DDCPAMKM_01498	CDS	441	queF	1.7.1.13		NADPH-dependent 7-cyano-7-deazaguanine reductase
DDCPAMKM_01499	gene	789				
DDCPAMKM_01499	CDS	789				hypothetical protein
DDCPAMKM_01500	gene	384				
DDCPAMKM_01500	CDS	384				hypothetical protein
DDCPAMKM_01501	gene	1296				
DDCPAMKM_01501	CDS	1296				hypothetical protein
DDCPAMKM_01502	gene	1092	aroB			
DDCPAMKM_01502	CDS	1092	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
DDCPAMKM_01503	gene	570	aroK			
DDCPAMKM_01503	CDS	570	aroK	2.7.1.71	COG0703	Shikimate kinase 1
DDCPAMKM_01504	gene	1191	aroC			
DDCPAMKM_01504	CDS	1191	aroC	4.2.3.5	COG0082	Chorismate synthase
DDCPAMKM_01505	gene	600				
DDCPAMKM_01505	CDS	600				hypothetical protein
DDCPAMKM_01506	gene	867				
DDCPAMKM_01506	CDS	867				Nucleotide-binding protein
DDCPAMKM_01507	gene	519	hpf			
DDCPAMKM_01507	CDS	519	hpf		COG1544	Ribosome hibernation promotion factor
DDCPAMKM_01508	gene	1497	rpoN			
DDCPAMKM_01508	CDS	1497	rpoN		COG1508	RNA polymerase sigma-54 factor
DDCPAMKM_01509	gene	744	lptB			
DDCPAMKM_01509	CDS	744	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
DDCPAMKM_01510	gene	612	lptA			
DDCPAMKM_01510	CDS	612	lptA			Lipopolysaccharide export system protein LptA
DDCPAMKM_01511	gene	597				
DDCPAMKM_01511	CDS	597				hypothetical protein
DDCPAMKM_01512	gene	957	mdh			
DDCPAMKM_01512	CDS	957	mdh	1.1.1.37	COG0039	Malate dehydrogenase
DDCPAMKM_01513	gene	79				
DDCPAMKM_01513	misc_RNA	79				Fluoride
DDCPAMKM_01514	gene	255				
DDCPAMKM_01514	CDS	255				hypothetical protein
DDCPAMKM_01515	gene	1527	mdtD			
DDCPAMKM_01515	CDS	1527	mdtD			Putative multidrug resistance protein MdtD
DDCPAMKM_01516	gene	993	emrA_2			
DDCPAMKM_01516	CDS	993	emrA_2			Colistin resistance protein EmrA
DDCPAMKM_01517	gene	1371				
DDCPAMKM_01517	CDS	1371				hypothetical protein
DDCPAMKM_01518	gene	624				
DDCPAMKM_01518	CDS	624				hypothetical protein
DDCPAMKM_01519	gene	825	coaX			
DDCPAMKM_01519	CDS	825	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
DDCPAMKM_01520	gene	753	birA			
DDCPAMKM_01520	CDS	753	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
DDCPAMKM_01521	gene	876	nadC_2			
DDCPAMKM_01521	CDS	876	nadC_2	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
DDCPAMKM_01522	gene	2730	valS			
DDCPAMKM_01522	CDS	2730	valS	6.1.1.9	COG0525	Valine--tRNA ligase
DDCPAMKM_01523	gene	1071	mltG			
DDCPAMKM_01523	CDS	1071	mltG	4.2.2.-		Endolytic murein transglycosylase
DDCPAMKM_01524	gene	591	yqgF			
DDCPAMKM_01524	CDS	591	yqgF	3.1.-.-		Putative pre-16S rRNA nuclease
DDCPAMKM_01525	gene	2655	alaS			
DDCPAMKM_01525	CDS	2655	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
DDCPAMKM_01526	gene	1074	recA			
DDCPAMKM_01526	CDS	1074	recA			Protein RecA
DDCPAMKM_01527	gene	465	pgpA			
DDCPAMKM_01527	CDS	465	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
DDCPAMKM_01528	gene	717				
DDCPAMKM_01528	CDS	717				hypothetical protein
DDCPAMKM_01529	gene	375				
DDCPAMKM_01529	CDS	375				hypothetical protein
DDCPAMKM_01530	gene	636				
